food_id,name,protein,fat,carbs,calories,fiber,sodium,sugar
322475,"MILK, SKIM ",NULL,0.15,NULL,NULL,NULL,NULL,NULL
322478,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,47,NULL
322482,"MILK, SKIM ",NULL,0.18,NULL,NULL,NULL,NULL,NULL
322496,"MILK, SKIM ",NULL,0.06,NULL,NULL,NULL,NULL,NULL
322502,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,44,NULL
322516,"MILK, SKIM ",NULL,0.06,NULL,NULL,NULL,NULL,NULL
322524,"MILK, SKIM ",NULL,0.08,NULL,NULL,NULL,NULL,NULL
322527,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,38,NULL
322543,"MILK, SKIM ",NULL,0.06,NULL,NULL,NULL,NULL,NULL
322546,"MILK, SKIM ",NULL,NULL,NULL,NULL,NULL,44,NULL
322559,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",3.43,0.08,4.89,34,NULL,41,NULL
322562,"MILK, WHOLE ",NULL,3.34,NULL,NULL,NULL,NULL,NULL
322570,"MILK, WHOLE ",NULL,3.15,NULL,NULL,NULL,NULL,NULL
322576,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,38,NULL
322592,"MILK, WHOLE ",NULL,3.22,NULL,NULL,NULL,NULL,NULL
322598,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,38,NULL
322616,"MILK, WHOLE ",NULL,3.03,NULL,NULL,NULL,NULL,NULL
322632,"MILK, WHOLE ",NULL,3.21,NULL,NULL,NULL,NULL,NULL
322635,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,38,NULL
322651,"MILK, WHOLE ",NULL,3.18,NULL,NULL,NULL,NULL,NULL
322654,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,38,NULL
322670,"MILK, WHOLE ",NULL,3.19,NULL,NULL,NULL,NULL,NULL
322676,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,37,NULL
322691,"MILK, WHOLE ",NULL,3.13,NULL,NULL,NULL,NULL,NULL
322698,"MILK, WHOLE ",NULL,3.2,NULL,NULL,NULL,NULL,NULL
322704,"MILK, WHOLE ",NULL,3.25,NULL,NULL,NULL,NULL,NULL
322710,"MILK, WHOLE ",NULL,3.28,NULL,NULL,NULL,NULL,NULL
322717,"MILK, WHOLE ",NULL,3.41,NULL,NULL,NULL,NULL,NULL
322723,"MILK, WHOLE ",NULL,3.2,NULL,NULL,NULL,NULL,NULL
322729,"MILK, WHOLE ",NULL,3.21,NULL,NULL,NULL,NULL,NULL
322736,"MILK, WHOLE ",NULL,3.3,NULL,NULL,NULL,NULL,NULL
322744,"MILK, WHOLE ",NULL,2.58,NULL,NULL,NULL,NULL,NULL
322747,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,37,NULL
322752,"MILK, WHOLE ",NULL,2.59,NULL,NULL,NULL,NULL,NULL
322754,"MILK, WHOLE ",NULL,2.59,NULL,NULL,NULL,NULL,NULL
322765,"MILK, WHOLE ",NULL,3.24,NULL,NULL,NULL,NULL,NULL
322773,"MILK, WHOLE ",NULL,3.22,NULL,NULL,NULL,NULL,NULL
322779,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,37,NULL
322797,"MILK, WHOLE ",NULL,3.34,NULL,NULL,NULL,NULL,NULL
322800,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,39,NULL
322818,"MILK, WHOLE ",NULL,3.24,NULL,NULL,NULL,NULL,NULL
322824,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,38,NULL
322838,"MILK, WHOLE ",NULL,3.21,NULL,NULL,NULL,NULL,NULL
322844,"MILK, WHOLE ",NULL,3.21,NULL,NULL,NULL,NULL,NULL
322855,"MILK, WHOLE ",NULL,3.29,NULL,NULL,NULL,NULL,NULL
322858,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,37,NULL
322875,"MILK, WHOLE ",NULL,3.2,NULL,NULL,NULL,NULL,NULL
322878,"MILK, WHOLE ",NULL,NULL,NULL,NULL,NULL,39,NULL
322892,"Milk, whole, 3.25% milkfat, with added vitamin D",3.28,3.2,4.67,60,NULL,38,NULL
322896,Hot dogs beef,NULL,26.9,NULL,NULL,NULL,NULL,NULL
322897,Hot dogs beef,NULL,NULL,NULL,NULL,NULL,877,NULL
322906,Hot dogs beef,NULL,27.3,NULL,NULL,NULL,NULL,NULL
322907,Hot dogs beef,NULL,NULL,NULL,NULL,NULL,916,NULL
322917,Hot dogs beef,NULL,29.5,NULL,NULL,NULL,NULL,NULL
322918,Hot dogs beef,NULL,NULL,NULL,NULL,NULL,890,NULL
322932,Hot dogs beef,NULL,27.8,NULL,NULL,NULL,NULL,NULL
322933,Hot dogs beef,NULL,NULL,NULL,NULL,NULL,921,NULL
322949,Hot dogs beef,NULL,28,NULL,NULL,NULL,NULL,NULL
